S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Axle status,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
601,1010137994,,,,,V400826220T270102,3526R 8X2 6375E6.1 SLC CHS RTHDPHCGHGPAW,3526R,HWC,Domestic,TENTATIVE ORDER,,,39.0,2026-05-11,2:07 PM,99.0,RECEIVED,,Rapid Prime,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,,,,,,600135038,T40071800150001,G85 SAE2 NGR SP CUMMINS IMP BRG NPTO,RECEIVED,,,,,,,54233447.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319471.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
602,1010138090,,,,,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,TENTATIVE ORDER,,,40.0,2026-05-11,2:17 PM,100.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319656.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135120,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233526.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319655.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
603,1200310818,,,,,V400831231V2F1103,1926C4X2 3600E6.1DYC 10.5BXHDRG RTHDP YW,1926C,LWC,Domestic,TENTATIVE ORDER,,,41.0,2026-05-11,2:27 PM,101.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319312.0,E92695601260001,Engine 191KW OBD2 BS6 SAE-2,RECEIVED,,600134953,T40071800120001,G85 1926C SAE2 NGR S Peened Sliding PTO,RECEIVED,,,,,,,54233362.0,C40087910013001C00,THUNDERBOLT-DAY,51319311.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
604,1200311064,,,,,V400854231O0FA103,3528C8X4 5175E6.1DYC 23BXHY RG RT HDP YW,3528C,HWC,Domestic,TENTATIVE ORDER,,,42.0,2026-05-11,2:44 PM,102.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51320322.0,E92695601380001,Engine 210KW OBD2 BS6 SAE-1,RECEIVED,,600135485,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,RECEIVED,,,,,,,54233843.0,C40087910013001C00,THUNDERBOLT-DAY,51320321.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
605,1010137723,,,,,F4002121201180382,2528R LH 6X2 4500 SLC CHS TT AC HCG AW,2528R,LWC,Export,TENTATIVE ORDER,,,43.0,2026-05-11,2:54 PM,103.0,RECEIVED,,,,,NOT STARTED,,Guatemala,,,,51320109.0,E40095100600001,2528R BS3 SAE-2 CS LHD ,RECEIVED,,600135391,T40072000100001,G131 2528R LHD SAE2,RECEIVED,,,,,,,54233738.0,C40087900123001C00,THUNDERBOLT-SLEEPER-LHD,51320108.0,C40087900123001P02,CABIN HDT EXPORT-SLC LHD-TB/FL -PAINT AW,,,,,,,,,
606,1200310666,,,,,V400831231V2F1003,1926C 4X2 3600E6.1DYC 10.5BXHDRG NTHDPYW,1926C,LWC,Domestic,TENTATIVE ORDER,,,44.0,2026-05-11,3:04 PM,104.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51318591.0,E92695601260001,Engine 191KW OBD2 BS6 SAE-2,RECEIVED,,600134257,T40071800120001,G85 1926C SAE2 NGR S Peened Sliding PTO,RECEIVED,,,,,,,54232927.0,C40087910013001C00,THUNDERBOLT-DAY,51317990.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
607,1010137982,,,,,V400881220X000102,5532T HT 6X4 3975 E6.1 SLC CHS RT HDPAW,5532T,HWC,Domestic,TENTATIVE ORDER,,,45.0,2026-05-11,3:14 PM,105.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51319495.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,RECEIVED,,600135050,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,RECEIVED,,,,,,,54233459.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51319494.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
608,1010137722,,,,,F4002041211B10382,1828R LH 4X2 5100 DYC CHS TT AC AW,1828R,LWC,Export,TENTATIVE ORDER,,,46.0,2026-05-11,3:24 PM,106.0,RECEIVED,,,,,NOT STARTED,,Guatemala,,,,51320131.0,E40095100600001,2528R BS3 SAE-2 CS LHD ,RECEIVED,,600135392,T40072000100001,G131 2528R LHD SAE2,RECEIVED,,,,,,,54233739.0,C40087910123001C00,THUNDERBOLT-DAY-LHD,51320110.0,C40087910123001P02,CABIN HDT EXPORT-DAY LHD-TB/FL- PAINT AW,,,,,,,,,
609,1200310949,,,,,V83136821P5321000,1924 CHS 6850 BS6.1 TR295 80M AS RET,1924 ,HWC,Domestic,TENTATIVE ORDER,,,47.0,2026-05-11,3:34 PM,107.0,RECEIVED,,,,,NOT STARTED,,$$$$$$$$$$$$$$$,,,,51320118.0,E40095800060001,Engine1623R180KW OBD2 SAE-2 BS6 Bus 2ALT,,,600135405,T40072400010001,G85 1624R BUS SAE2 IGR IMP Brg 3 pin N S,,,,,,,,54233739.0,BUS,BUS,51320110.0,BUS,BUS,1010138277.0,C83184200510001,DRIVER PLATFORM OF 16T BUS 5950WB OF RF,RECEIVED,,,,,
610,1010138486,,,,,V400842221O140102,2828C 6X4 4575 E6.1 DYC CHS RT HD RMC AW,2828C,LWC,Domestic,TENTATIVE ORDER,,,48.0,2026-05-11,3:44 PM,1.0,RECEIVED,,,,,,,$$$$$$$$$$$$$$$,,,,51320734.0,E92695600960001,Engine 210KW OBD2 BS6 SAE1 RMC PTO,RECEIVED,,600135706,T40072300040001,G131 4928T  SAE1 Non RSI 180 Flange,RECEIVED,,,,,,,54234093.0,C40087910013001C00,THUNDERBOLT-DAY,51320733.0,C40087910013001P02,THUNDERBOLT-DAY (ARTIC WHITE),,,,,,,,,
