S.No,Order Number,DSN,Serial Number,VIN,CIW Serial No,Variant,Description,Model,Work Content,Region,Status,Skip/hold reason,Outlook,Line in sequence,Production Date,Line in time,Release sequence,Vehicle Order State,Hold Status,Engine status,Transmission status,A4003220479,Axle status,Frame status,Country,CIW Start Time,Vehicle Start Time,Frame Load Time,Engine Order No,Engine Part No,Engine Description,Engine Order State,Engine Start Time,Transmission Order No,Transmission Part No,Transmission Description,Transmission Order State,Transmission Start Time,Frame Order No,Frame Part No,Frame Description,Frame Order State,Frame Start Time,CIW Order,CIW Part,CIW Desc,Paint Order,Paint Part,Paint Desc,Podest Order,Podest Part,Podest Desc,Podest State,Podest Start Time,BB Order Number,BB Part Number,SFC Order Number,SFC Part Number
1,1010137259,100172731.0,MEC841FBXX0177891,MEC841FBDTP201664,TDRDD26288062,V400841221O140002,2828C 6X4 4275 E6.1 DYC CHS NT HD RMC AW,2828C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Dressing,Dressing,,,,$$$$$$$$$$$$$$$,25-APR-26 06.08.25.000 PM,28-APR-26 11.37.26.000 PM,29-APR-26 04.23.21.000 PM,51317537.0,E92695601670001,ENGINE 210KW OBD2 BS6 SAE 2 RMC PTO Rane,BOOKED,25-APR-26 10.36.45.000 AM,600133984,T40072000680001,G131 4228RMC SAE2 180 flange,BOOKED,29-APR-26 10.30.41.000 AM,,,,,,54233358.0,C40087910013001C00,THUNDERBOLT-DAY,51318570.0,C40087910013001P02,THUNDERBOLT-DAY (ARTIC WHITE),,,,,,,,,
2,1010137588,100172750.0,MEC862HCXX0177911,MEC862HCDTP201687,TSRDD26288077,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 10.14.29.000 PM,29-APR-26 04.28.51.000 PM,29-APR-26 08.10.26.000 PM,51318378.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,25-APR-26 04.52.40.000 PM,600134442,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,29-APR-26 12.09.29.000 PM,,,,,,54232460.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51317784.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
3,1010137589,100172752.0,MEC862HCXX0177913,MEC862HCDTP201689,TSRDD26288082,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 11.15.00.000 PM,29-APR-26 04.52.12.000 PM,29-APR-26 08.22.12.000 PM,51318376.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,25-APR-26 05.10.17.000 PM,600134441,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,29-APR-26 12.15.41.000 PM,,,,,,54232451.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51317771.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
4,1200310339,100172754.0,MEC954HBXX0177915,MEC954HBDTP201691,TDRDD26288068,V400954231N4VG203,3532CM8X45175E6.1DYC19.5SCHDAMTRGMTHDPYW,3532CM,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,Covered,,,$$$$$$$$$$$$$$$,25-APR-26 07.50.55.000 PM,29-APR-26 05.03.49.000 PM,29-APR-26 08.29.18.000 PM,51317349.0,E92695601520001,Engine 320HP BS6 SAE 1 AMT,CLOSED,25-APR-26 05.33.05.000 PM,80001194923,T40072900010001,AMTCC 12 GEAR G211 SAE1 - PTO,CLOSED,28-APR-26 03.12.38.000 PM,,,,,,54232253.0,C40087910013001C00,THUNDERBOLT-DAY,51317426.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
5,1200310329,100172755.0,MEC841KBXX0177916,MEC841KBDTP201692,TDRDD26288057,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 04.52.03.000 PM,29-APR-26 05.09.20.000 PM,29-APR-26 08.40.47.000 PM,51317429.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,BOOKED,25-APR-26 05.40.39.000 PM,600133930,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,29-APR-26 01.16.57.000 PM,,,,,,54232255.0,C40087910013001C00,THUNDERBOLT-DAY,51317430.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
6,1010137024,100172738.0,MEC905MCXX0177898,MEC905MCDTP201671,TSRDD26288003,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 09.27.22.000 AM,29-APR-26 01.08.01.000 PM,29-APR-26 08.48.56.000 PM,,,,,,600133680,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,CLOSED,29-APR-26 10.52.37.000 AM,,,,,,54232796.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318403.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
7,1010137244,100172756.0,MEC862FCXX0177917,MEC862FCDTP201693,TSRDD26288061,V400862220Z500132,4628T HT 4X2 3600 E6.1 SLC CHS RT HDP AW,4628T,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 06.00.58.000 PM,29-APR-26 05.17.56.000 PM,29-APR-26 08.58.22.000 PM,51317557.0,E92695601430001,Engine 210KW OBD2 BS6 SAE-1 TT,BOOKED,25-APR-26 05.50.00.000 PM,600133995,T40072300210001,G131 3528C SAE1 NPTO 180 FLANGE RSI,CLOSED,29-APR-26 01.21.08.000 PM,,,,,,54232782.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51318375.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
8,1010137590,100172757.0,MEC862HCXX0177918,MEC862HCDTP201694,TSRDD26288046,V400862220X000102,5532TS HT 4X2 3600 E6.1 SLC CHS RT HDPAW,5532TS,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 03.17.15.000 PM,29-APR-26 05.24.59.000 PM,29-APR-26 09.42.07.000 PM,51318374.0,E92695601040001,Engine 320HP BS6 SAE-1 TT,CLOSED,25-APR-26 05.58.53.000 PM,600134440,T40072300220001,G131 5432T SAE1 180 Flange DANA RSI,CLOSED,29-APR-26 01.26.32.000 PM,,,,,,54230514.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51314156.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
9,1200310330,100172758.0,MEC841KBXX0177919,MEC841KBDTP201695,TDRDD26288078,V400841231W0F2103,2826C 6X4 4275 E6.1 DYC 16BXHD RGRTHDPYW,2826C,LWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Consumed,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 10.28.49.000 PM,29-APR-26 05.39.20.000 PM,29-APR-26 09.50.19.000 PM,51317427.0,E92695601330001,Engine 191KW OBD2 BS6 SAE-1,CLOSED,25-APR-26 06.08.21.000 PM,600133929,T40072300200001,G131 3128C SAE1 180 Sliding PTO RSI,CLOSED,29-APR-26 01.30.00.000 PM,,,,,,54232250.0,C40087910013001C00,THUNDERBOLT-DAY,51317420.0,C40087910013001P03,Thunderbolt-DAY (YELLOW),,,,,,,,,
10,1010137026,100172751.0,MEC905MCXX0177912,MEC905MCDTP201688,TSRDD26288059,V400905220U5T0102,4832R 10X26975E6.1SLCCHSRTHDPHCG28FTBLAW,4832R,HWC,Domestic,FRAME LOADED,,,,,,,STARTED,,Rapid Prime,Consumed,,,,$$$$$$$$$$$$$$$,25-APR-26 05.35.28.000 PM,29-APR-26 04.48.20.000 PM,29-APR-26 10.01.38.000 PM,,,,,,600133678,T40072300110001,G131 3528C SAE1 Cummins NPTO 180 Flg,CLOSED,29-APR-26 12.13.28.000 PM,,,,,,54232000.0,C40087900013001C00,THUNDERBOLT-SLEEPER,51317002.0,C40087900013001P02,THUNDERBOLT-SLEEPER (ARTIC WHITE),,,,,,,,,
